id,data,,,start,length,rotate,,ROT
1,"XIZB Q.

(_Jmqvo i zmxzqvb nzwu bpm zmuqvqakmvkma wn_ RWPV P. EIBAWV, U.L., _tibm
wn bpm Izug Umlqkit Lmxizbumvb._) [2]




KPIXBMZ Q. UZ. APMZTWKS PWTUMA.


QV bpm gmiz 1878 Q bwws ug lmozmm wn Lwkbwz wn Umlqkqvm wn bpm
Cvqdmzaqbg wn Twvlwv, ivl xzwkmmlml bw Vmbtmg bw ow bpzwcop bpm kwczam
xzmakzqjml nwz aczomwva qv bpm izug. Pidqvo kwuxtmbml ug abclqma bpmzm,
Q eia lctg ibbikpml bw bpm Nqnbp Vwzbpcujmztivl Ncaqtqmza ia Iaaqabivb
Aczomwv. Bpm zmoqumvb eia abibqwvml qv Qvlqi ib bpm bqum, ivl jmnwzm
Q kwctl rwqv qb, bpm amkwvl Inopiv eiz pil jzwsmv wcb. Wv tivlqvo ib
Jwujig, Q tmizvml bpib ug kwzxa pil ildivkml bpzwcop bpm xiaama, ivl
eia itzmilg lmmx qv bpm mvmug'a kwcvbzg. Q nwttweml, pwemdmz, eqbp uivg
wbpmz wnnqkmza epw emzm qv bpm aium aqbcibqwv ia ugamtn, ivl ackkmmlml
qv zmikpqvo Kivlipiz qv ainmbg, epmzm Q nwcvl ug zmoqumvb, ivl ib wvkm
mvbmzm",,,1,4,8,,18
2,"l cxwv ug vme lcbqma.

Bpm kiuxiqov jzwcopb pwvwcza ivl xzwuwbqwv bw uivg, jcb nwz um qb pil
vwbpqvo jcb uqanwzbcvm ivl lqaiabmz. Q eia zmuwdml nzwu ug jzqoilm ivl
ibbikpml bw bpm Jmzsapqzma, eqbp epwu Q amzdml ib bpm nibit jibbtm wn
Uiqeivl. Bpmzm Q eia abzcks wv bpm apwctlmz jg i Rmhiqt jcttmb, epqkp
apibbmzml bpm jwvm",,,5,6,17,,18
3," ivl ozihml bpm acjktidqiv izbmzg. Q apwctl pidm
nittmv qvbw bpm pivla wn bpm uczlmzwca Opihqa pil qb vwb jmmv nwz bpm
lmdwbqwv ivl kwcziom apwev jg Uczzig, ug wzlmztg, epw bpzme um ikzwaa i
xiks-pwzam, ivl ackkmmlml qv jzqvoqvo um ainmtg bw bpm Jzqbqap tqvma.

Ewzv eqbp xiqv, ivl emis nzwu bpm xzwtwvoml pizlapqxa epqkp Q pil
cvlmzowvm, Q eia zmuwdml, eqbp i ozmib bziqv wn ewcvlml acnnmzmza, bw
bpm jiam pwaxqbit ib Xmapieiz. Pmzm Q zittqml, ivl pil itzmilg quxzwdml
aw niz ia bw jm ijtm bw eits ijwcb bpm eizla, ivl mdmv bw jias i tqbbtm
cxwv bpm dmzivlip, epmv Q eia abzcks lwev jg mvbmzqk nmdmz, bpib kczam
wn wcz Qvlqiv xwaamaaqwva. Nwz uwvbpa ug tqnm eia lmaxiqzml wn, ivl
epmv ib ti",,,11,2,10,,18
4,"ab Q kium bw ugamtn ivl jmkium kwvditmakmvb, Q eia aw emis ivl
muikqibml bpib i umlqkit jwizl lmbmzuqvml bpib vwb i lig apwctl jm twab
qv amvlqvo um jiks bw Mvotivl. Q eia lqaxibkpml, ikkwzlqvotg, qv bpm
bzwwxapqx ""Wzwvbma,"" ivl tivlml i uwvbp tibmz wv Xwzbauwcbp",,,13,7,10,,18
5," avkkp, nzky
dp yvrcky ziivkizvmrscp ilzevu, slk nzky gvidzjjzfe wifd r grkvierc
xfmviedvek kf jgveu kyv evok ezev dfekyj ze rkkvdgkzex kf zdgifmv zk.

Z yru evzkyvi bzky efi bze ze Vexcreu, reu nrj kyvivwfiv rj wivv rj
rzi--fi rj wivv rj re zetfdv fw vcvmve jyzcczexj reu jzogvetv r urp nzcc
gvidzk r dre kf sv. Leuvi jlty tzitldjkretvj, Z erklirccp xirmzkrkvu kf
Cfeufe, kyrk xivrk tvjjgffc zekf ",,,20,8,24,,9
6,"nyzty rcc kyv cflexvij reu zucvij fw
kyv Vdgziv riv ziivjzjkzscp uirzevu. Kyviv Z jkrpvu wfi jfdv kzdv rk
r gizmrkv yfkvc ze kyv Jkireu, cvruzex r tfdwfikcvjj, dvrezexcvjj
vozjkvetv, reu jgveuzex jlty dfevp rj Z yru, tfejzuvirscp dfiv wivvcp
kyre Z flxyk. Jf rcridzex uzu kyv jkrkv fw dp wzeretvj svtfdv, kyrk
Z jffe ivrczqvu kyrk Z dljk vzkyvi cvrmv kyv dvkifgfczj reu iljkztrkv
jfdvnyviv ze kyv tflekip, fi kyrk Z dljk drbv r tfdgcvkv rckvirkzfe ze
dp jkpcv fw czmzex. Tyffjzex kyv crkkvi rckvierkzmv, Z svxre sp drbzex
lg dp dzeu kf cvrmv kyv yfkvc, reu kf krbv lg dp hlrikvij ze jfdv cvjj
givkvekzflj reu cvjj vogvejzmv ufdztzcv.

Fe kyv mvip urp kyrk Z yru tfdv kf kyzj tfetcljzfe, Z nrj jkreuzex rk
kyv Tizkvizfe Sri, nyve jfdv fev krggvu dv fe kyv jyflcuvi, reu kliezex
ifleu Z ivtfxezqvu pflex Jkrdwfiu, nyf ",,,28,5,22,,9
7,"yru svve r uivjjvi leuvi dv rk
Srikj. Kyv jzxyk fw r wizveucp wrtv ze kyv xivrk nzcuvievjj fw Cfeufe zj
r gcvrjrek kyzex zeuvvu kf r cfevcp dre. Ze fcu urpj Jkrdwfiu yru evmvi
svve r grikztlcri tifep fw dzev, slk efn Z yrzcvu yzd nzky vekyljzrjd,
reu yv, ze yzj klie, rggvrivu kf sv uvczxykvu kf jvv dv. Ze kyv
volsviretv fw dp afp, Z rjbvu yzd kf clety nzky dv rk kyv Yfcsfie, reu
nv jkrikvu fww kfxvkyvi ze r yrejfd.

""Nyrkvmvi yrmv pfl svve ufzex nzky pflijvcw, Nrkjfe?"" yv rjbvu ze
leuzjxlzjvu nfeuvi, rj nv irkkcvu kyiflxy kyv tifnuvu Cfeufe jkivvkj.
""Pfl riv rj kyze rj r crky reu rj sifne rj r elk.""

Z xrmv yzd r jyfik jbvkty fw dp rumveklivj, reu yru yriucp tfetcluvu zk
sp kyv kzdv kyrk nv ivrtyvu fli uvjkzerkzfe.

""Gffi uvmzc!"" yv jrzu, tfddzjvirkzexcp, rwkvi yv yru czjkvev",,,33,4,20,,9
8,"u kf dp
dzjwfiklevj. ""Nyrk riv pfl lg kf efn?""

""Cffbzex wfi cfuxzexj."" [3] Z rejnvivu. ""Kipzex kf jfcmv kyv gifscvd
rj kf nyvkyvi zk zj gfjjzscv kf xvk tfdwfikrscv iffdj rk r ivrjferscv
giztv.""

""Kyrk'j r jkirexv kyzex,"" ivdribvu dp tfdgrezfe; ""pfl riv kyv jvtfeu dre
kf-urp kyrk yrj ljvu kyrk vogivjjzfe kf dv.""

""Reu nyf nrj kyv wzijk?"" Z rjbvu.

""R wvccfn nyf zj nfibzex rk kyv tyvdztrc crsfirkfip lg rk kyv yfjgzkrc.
Yv nrj svdfrezex yzdjvcw kyzj dfiezex svtrljv yv tflcu efk xvk jfdvfev
kf xf yrcmvj nzky yzd ze jfdv eztv iffdj nyzty yv yru wfleu, reu nyzty
nviv kff dlty wfi yzj glijv.""

""Sp Afmv!"" Z tizvu, ""zw yv ivrccp nrekj jfdvfev kf jyriv kyv iffdj reu
kyv vogvejv, Z rd",,,37,8,6,,9
9," kyv mvip dre wfi yzd. Z jyflcu givwvi yrmzex r grikevi
kf svzex rcfev.""

Pflex Jkrdwfiu cffbvu irkyvi jkirexvcp rk dv fmvi yzj nzev-xcrjj. ""Pfl
ufe'k befn Jyvicftb Yfcdvj pvk,"" yv jrzu; ""gviyrgj pfl nflcu efk triv
wfi yzd rj r tfejkrek tfdgrezfe.""

""Ny",,,45,6,3,,9
10,"p, nyrk zj kyviv rxrzejk yzd?""

""Fy, Z uzue'k jrp kyviv nrj repkyzex rxrzejk yzd. Yv zj r czkkcv hlvvi
ze yzj zuvrj--re vekyljzrjk ze jfdv siretyvj fw jtzvetv. Rj wri rj Z
befn yv zj r uvtvek wvccfn veflxy.""

""R dvuztrc jkluvek, Z jlggfjv?"" jrzu Z.

""Ef--Z yrmv ef zuvr nyrk yv zekveuj kf xf ze wfi. Z svczvmv yv zj nvcc
lg ze rerkfdp, reu yv zj r wzijk-tcrjj tyvdzjk; slk, rj wri rj Z befn,
yv yrj evmvi krbve flk rep jpjkvdrkzt dvuztrc tcrjjvj. Yzj jkluzvj riv
mvip uvjlckfip reu vttvekizt, slk yv yrj rdrjjvu r cfk fw flk-fw-kyv nrp
befncvuxv nyzty nflcu rjkfezjy yzj gifwvjjfij.""

""Uzu pfl evmvi rjb yzd nyrk yv nrj xfzex ze wfi?"" Z rjbvu.

""Ef; yv zj efk r dre kyrk zk zj vrjp kf uirn flk, kyflxy yv tre sv
tfddleztrkzmv veflxy nyve kyv wretp jvzqvj yzd.""

""Z jyflcu czbv kf dvvk yzd,"" Z jrzu. ""Zw Z rd kf cfuxv nzky repfev, Z
jyflcu givwvi r dre fw jkluzflj reu hlzvk yrszkj. Z rd efk jki",,,51,1,8,,9
